OM_Regular,OM_Prediction
"table121,class221,obj31,atr1,obj32,atr2",0
"table122,class222,obj31,atr1,obj32,atr2",0
"table123,class223,obj31,atr1,obj32,atr2",0
"table124,class224,obj31,atr1,obj32,atr2",0
"table125,class225,obj31,atr1,obj32,atr2",0
"table126,class226,obj31,atr1,obj32,atr2",0
"table127,class227,obj31,atr1,obj32,atr2",0
"table128,class228,obj31,atr1,obj32,atr2",0
"table129,class229,obj31,atr1,obj32,atr2",0
"table130,class230,obj31,atr1,obj32,atr2",0
"table131,class231,obj31,atr1,obj32,atr2",0
"table132,class232,obj31,atr1,obj32,atr2",0
"table133,class233,obj31,atr1,obj32,atr2",0
"table134,class234,obj31,atr1,obj32,atr2",0
"table135,class235,obj31,atr1,obj32,atr2",0
"table136,class236,obj31,atr1,obj32,atr2",0
"table137,class321,obj31,atr1,obj32,atr2",0
"table138,class322,obj31,atr1,obj32,atr2",0
"table139,class323,obj31,atr1,obj32,atr2",0
"table140,class324,obj31,atr1,obj32,atr2",0
"table141,class325,obj31,atr1,obj32,atr2",0
"table142,class326,obj31,atr1,obj32,atr2",0
"table143,class327,obj31,atr1,obj32,atr2",0
"table144,class328,obj31,atr1,obj32,atr2",0
"table145,class329,obj31,atr1,obj32,atr2",0
"table146,class330,obj31,atr1,obj32,atr2",0
"table147,class331,obj31,atr1,obj32,atr2",0
"table148,class332,obj31,atr1,obj32,atr2",0
"table149,class333,obj31,atr1,obj32,atr2",0
"table150,class334,obj31,atr1,obj32,atr2",0
"table151,class335,obj31,atr1,obj32,atr2",0
"table152,class336,obj31,atr1,obj32,atr2",0
"table121,class221,obj61,atr3,obj77,atr4",0
"table122,class222,obj61,atr3,obj77,atr4",0
"table123,class223,obj61,atr3,obj77,atr4",0
"table124,class224,obj61,atr3,obj77,atr4",0
"table125,class225,obj61,atr3,obj77,atr4",0
"table126,class226,obj61,atr3,obj77,atr4",0
"table127,class227,obj61,atr3,obj77,atr4",0
"table128,class228,obj61,atr3,obj77,atr4",0
"table129,class229,obj61,atr3,obj77,atr4",0
"table130,class230,obj61,atr3,obj77,atr4",0
"table131,class231,obj61,atr3,obj77,atr4",0
"table132,class232,obj61,atr3,obj77,atr4",0
"table133,class233,obj61,atr3,obj77,atr4",0
"table134,class234,obj61,atr3,obj77,atr4",0
"table135,class235,obj61,atr3,obj77,atr4",0
"table136,class236,obj61,atr3,obj77,atr4",0
"table137,class321,obj61,atr3,obj77,atr4",0
"table138,class322,obj61,atr3,obj77,atr4",0
"table139,class323,obj61,atr3,obj77,atr4",0
"table140,class324,obj61,atr3,obj77,atr4",0
"table141,class325,obj61,atr3,obj77,atr4",0
"table142,class326,obj61,atr3,obj77,atr4",0
"table143,class327,obj61,atr3,obj77,atr4",0
"table144,class328,obj61,atr3,obj77,atr4",0
"table145,class329,obj61,atr3,obj77,atr4",0
"table146,class330,obj61,atr3,obj77,atr4",0
"table147,class331,obj61,atr3,obj77,atr4",0
"table148,class332,obj61,atr3,obj77,atr4",0
"table149,class333,obj61,atr3,obj77,atr4",0
"table150,class334,obj61,atr3,obj77,atr4",0
"table151,class335,obj61,atr3,obj77,atr4",0
"table152,class336,obj61,atr3,obj77,atr4",0
"class43,table31,obj24,atr1",1
"class44,table32,obj24,atr2",1
"class45,table33,obj24,atr3",1
"class46,table34,obj24,atr4",1
"class47,table35,obj24,atr5",1
"class48,table36,obj24,atr6",1
"class49,table37,obj24,atr7",1
"class50,table38,obj24,atr8",1
"class51,table39,obj24,atr9",1
"class52,table40,obj24,atr10",1
"class53,table41,obj24,atr11",1
"class54,table42,obj24,atr12",1
"class55,table43,obj24,atr13",1
"class56,table44,obj24,atr14",1
"class57,table45,obj24,atr15",1
"class70,table46,obj25,atr16",1
"class71,table47,obj26,atr17",1
"class72,table48,obj27,atr18",1
"class73,table49,obj28,atr19",1
"class74,table50,obj29,atr20",1
"class75,table51,obj30,atr21",1
"class76,table52,obj31,atr22",1
"class77,table53,obj32,atr23",1
"table153,class337,obj81,atr5,obj99,atr6",1
"table154,class338,obj81,atr5,obj99,atr6",0
