OM_regular,OM_Prediction
[start] np module omname0open declaration one sig class1name extends class attrset c1at1c1at2idc1at1no parent is abstract no one sig c1at1 extends c1at1type one sig c1at2 extends c1at2type one sig class2name extends class attrset c2at1c2at2idc2at1no parent is abstract no one sig c2at1 extends c2at1type one sig c2at2 extends c2at2type one sig class3name extends class attrset c3at1c3at2c3at3c3at4c3at5c3at6idc3at1no parent is abstract no one sig c3at1 extends c3at1type one sig c3at2 extends c3at2type one sig c3at3 extends c3at3type one sig c3at4 extends c3at4type one sig c3at5 extends c3at5type one sig c3at6 extends c3at6type one sig class4name extends class attrset c4at1c4at2c4at3c4at4idc4at3no parent is abstract no one sig c4at1 extends c4at1type one sig c4at2 extends c4at2type one sig c4at3 extends c4at3type one sig c4at4 extends c4at4type one sig class5name extends class attrset c5at1 one parent parent in class2nameidc2at1isabstractno one sig c5at1 extends c5at1type one sig class6name extends class attrset c6at10c6at2c6at3c6at4idc6at2no parent is abstract no one sig c6at10 extends c6at1type one sig c6at2 extends c6at2type one sig c6at3 extends c6at3type one sig c6at4 extends c6at4type one sig class7name extends class attrset c7at1 one parent parent in class2nameidc2at1isabstractno one sig c7at1 extends c7at1type one sig class8name extends class attrset c8at1c8at2c2at2c6at3idc8at1no parent is abstract no one sig c8at1 extends c8at1type one sig c8at1 extends c8at1type one sig assoc1 extends association srcclass8namedstclass2name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc2 extends association srcclass2namedstclass4name srcmultiplicity srcmlpc2 dstmultiplicity dstmlpc one sig assoc3 extends association srcclass8namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc4 extends association srcclass8namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc5 extends association srcclass8namedstclass6name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc6 extends association srcclass6namedstclass1name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc7 extends association srcclass6namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc8 extends association srcclass1namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc9 extends association srcclass1namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc10 extends association srcclass2namedstclass3name,0
[start] np module omname0open declaration one sig class1name extends class attrset c1at1c1at2idc1at1no parent is abstract no one sig c1at1 extends c1at1type one sig c1at2 extends c1at2type one sig class2name extends class attrset c2at1c2at2idc2at1no parent is abstract no one sig c2at1 extends c2at1type one sig c2at2 extends c2at2type one sig class3name extends class attrset c3at1c3at2c3at3c3at4c3at5c3at6idc3at1no parent is abstract no one sig c3at1 extends c3at1type one sig c3at2 extends c3at2type one sig c3at3 extends c3at3type one sig c3at4 extends c3at4type one sig c3at5 extends c3at5type one sig c3at6 extends c3at6type one sig class4name extends class attrset c4at1c4at2c4at3c4at4idc4at3no parent is abstract no one sig c4at1 extends c4at1type one sig c4at2 extends c4at2type one sig c4at3 extends c4at3type one sig c4at4 extends c4at4type one sig class5name extends class attrset c5at1 one parent parent in class2nameidc2at1isabstractno one sig c5at1 extends c5at1type one sig class6name extends class attrset c6at10c6at2c6at3c6at4idc6at2no parent is abstract no one sig c6at10 extends c6at1type one sig c6at2 extends c6at2type one sig c6at3 extends c6at3type one sig c6at4 extends c6at4type one sig class7name extends class attrset c7at1 one parent parent in class2nameidc2at1isabstractno one sig c7at1 extends c7at1type one sig class8name extends class attrset c8at1c8at2c2at2c6at3idc8at1no parent is abstract no one sig c8at1 extends c8at1type one sig c8at1 extends c8at1type one sig assoc1 extends association srcclass8namedstclass2name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc2 extends association srcclass2namedstclass4name srcmultiplicity srcmlpc2 dstmultiplicity dstmlpc one sig assoc3 extends association srcclass8namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc4 extends association srcclass8namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc5 extends association srcclass8namedstclass6name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc6 extends association srcclass6namedstclass1name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc7 extends association srcclass6namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc8 extends association srcclass1namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc9 extends association srcclass1namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc10 extends association srcclass2namedstclass3name,0
[start] np module omname0open declaration one sig class1name extends class attrset c1at1c1at2idc1at1no parent is abstract no one sig c1at1 extends c1at1type one sig c1at2 extends c1at2type one sig class2name extends class attrset c2at1c2at2idc2at1no parent is abstract no one sig c2at1 extends c2at1type one sig c2at2 extends c2at2type one sig class3name extends class attrset c3at1c3at2c3at3c3at4c3at5c3at6idc3at1no parent is abstract no one sig c3at1 extends c3at1type one sig c3at2 extends c3at2type one sig c3at3 extends c3at3type one sig c3at4 extends c3at4type one sig c3at5 extends c3at5type one sig c3at6 extends c3at6type one sig class4name extends class attrset c4at1c4at2c4at3c4at4idc4at3no parent is abstract no one sig c4at1 extends c4at1type one sig c4at2 extends c4at2type one sig c4at3 extends c4at3type one sig c4at4 extends c4at4type one sig class5name extends class attrset c5at1 one parent parent in class2nameidc2at1isabstractno one sig c5at1 extends c5at1type one sig class6name extends class attrset c6at10c6at2c6at3c6at4idc6at2no parent is abstract no one sig c6at10 extends c6at1type one sig c6at2 extends c6at2type one sig c6at3 extends c6at3type one sig c6at4 extends c6at4type one sig class7name extends class attrset c7at1 one parent parent in class2nameidc2at1isabstractno one sig c7at1 extends c7at1type one sig class8name extends class attrset c8at1c8at2c2at2c6at3idc8at1no parent is abstract no one sig c8at1 extends c8at1type one sig c8at1 extends c8at1type one sig assoc1 extends association srcclass8namedstclass2name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc2 extends association srcclass2namedstclass4name srcmultiplicity srcmlpc2 dstmultiplicity dstmlpc one sig assoc3 extends association srcclass8namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc4 extends association srcclass8namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc5 extends association srcclass8namedstclass6name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc6 extends association srcclass6namedstclass1name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc7 extends association srcclass6namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc8 extends association srcclass1namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc9 extends association srcclass1namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc10 extends association srcclass2namedstclass3name,0
[start] np module omname0open declaration one sig class1name extends class attrset c1at1c1at2idc1at1no parent is abstract no one sig c1at1 extends c1at1type one sig c1at2 extends c1at2type one sig class2name extends class attrset c2at1c2at2idc2at1no parent is abstract no one sig c2at1 extends c2at1type one sig c2at2 extends c2at2type one sig class3name extends class attrset c3at1c3at2c3at3c3at4c3at5c3at6idc3at1no parent is abstract no one sig c3at1 extends c3at1type one sig c3at2 extends c3at2type one sig c3at3 extends c3at3type one sig c3at4 extends c3at4type one sig c3at5 extends c3at5type one sig c3at6 extends c3at6type one sig class4name extends class attrset c4at1c4at2c4at3c4at4idc4at3no parent is abstract no one sig c4at1 extends c4at1type one sig c4at2 extends c4at2type one sig c4at3 extends c4at3type one sig c4at4 extends c4at4type one sig class5name extends class attrset c5at1 one parent parent in class2nameidc2at1isabstractno one sig c5at1 extends c5at1type one sig class6name extends class attrset c6at10c6at2c6at3c6at4idc6at2no parent is abstract no one sig c6at10 extends c6at1type one sig c6at2 extends c6at2type one sig c6at3 extends c6at3type one sig c6at4 extends c6at4type one sig class7name extends class attrset c7at1 one parent parent in class2nameidc2at1isabstractno one sig c7at1 extends c7at1type one sig class8name extends class attrset c8at1c8at2c2at2c6at3idc8at1no parent is abstract no one sig c8at1 extends c8at1type one sig c8at1 extends c8at1type one sig assoc1 extends association srcclass8namedstclass2name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc2 extends association srcclass2namedstclass4name srcmultiplicity srcmlpc2 dstmultiplicity dstmlpc one sig assoc3 extends association srcclass8namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc4 extends association srcclass8namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc5 extends association srcclass8namedstclass6name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc6 extends association srcclass6namedstclass1name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc7 extends association srcclass6namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc8 extends association srcclass1namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc9 extends association srcclass1namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc10 extends association srcclass2namedstclass3name,0
[start] np module omname0open declaration one sig class1name extends class attrset c1at1c1at2idc1at1no parent is abstract no one sig c1at1 extends c1at1type one sig c1at2 extends c1at2type one sig class2name extends class attrset c2at1c2at2idc2at1no parent is abstract no one sig c2at1 extends c2at1type one sig c2at2 extends c2at2type one sig class3name extends class attrset c3at1c3at2c3at3c3at4c3at5c3at6idc3at1no parent is abstract no one sig c3at1 extends c3at1type one sig c3at2 extends c3at2type one sig c3at3 extends c3at3type one sig c3at4 extends c3at4type one sig c3at5 extends c3at5type one sig c3at6 extends c3at6type one sig class4name extends class attrset c4at1c4at2c4at3c4at4idc4at3no parent is abstract no one sig c4at1 extends c4at1type one sig c4at2 extends c4at2type one sig c4at3 extends c4at3type one sig c4at4 extends c4at4type one sig class5name extends class attrset c5at1 one parent parent in class2nameidc2at1isabstractno one sig c5at1 extends c5at1type one sig class6name extends class attrset c6at10c6at2c6at3c6at4idc6at2no parent is abstract no one sig c6at10 extends c6at1type one sig c6at2 extends c6at2type one sig c6at3 extends c6at3type one sig c6at4 extends c6at4type one sig class7name extends class attrset c7at1 one parent parent in class2nameidc2at1isabstractno one sig c7at1 extends c7at1type one sig class8name extends class attrset c8at1c8at2c2at2c6at3idc8at1no parent is abstract no one sig c8at1 extends c8at1type one sig c8at1 extends c8at1type one sig assoc1 extends association srcclass8namedstclass2name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc2 extends association srcclass2namedstclass4name srcmultiplicity srcmlpc2 dstmultiplicity dstmlpc one sig assoc3 extends association srcclass8namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc4 extends association srcclass8namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc5 extends association srcclass8namedstclass6name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc6 extends association srcclass6namedstclass1name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc7 extends association srcclass6namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc8 extends association srcclass1namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc9 extends association srcclass1namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc10 extends association srcclass2namedstclass3name,0
[start] np module omname0open declaration one sig class1name extends class attrset c1at1c1at2idc1at1no parent is abstract no one sig c1at1 extends c1at1type one sig c1at2 extends c1at2type one sig class2name extends class attrset c2at1c2at2idc2at1no parent is abstract no one sig c2at1 extends c2at1type one sig c2at2 extends c2at2type one sig class3name extends class attrset c3at1c3at2c3at3c3at4c3at5c3at6idc3at1no parent is abstract no one sig c3at1 extends c3at1type one sig c3at2 extends c3at2type one sig c3at3 extends c3at3type one sig c3at4 extends c3at4type one sig c3at5 extends c3at5type one sig c3at6 extends c3at6type one sig class4name extends class attrset c4at1c4at2c4at3c4at4idc4at3no parent is abstract no one sig c4at1 extends c4at1type one sig c4at2 extends c4at2type one sig c4at3 extends c4at3type one sig c4at4 extends c4at4type one sig class5name extends class attrset c5at1 one parent parent in class2nameidc2at1isabstractno one sig c5at1 extends c5at1type one sig class6name extends class attrset c6at10c6at2c6at3c6at4idc6at2no parent is abstract no one sig c6at10 extends c6at1type one sig c6at2 extends c6at2type one sig c6at3 extends c6at3type one sig c6at4 extends c6at4type one sig class7name extends class attrset c7at1 one parent parent in class2nameidc2at1isabstractno one sig c7at1 extends c7at1type one sig class8name extends class attrset c8at1c8at2c2at2c6at3idc8at1no parent is abstract no one sig c8at1 extends c8at1type one sig c8at1 extends c8at1type one sig assoc1 extends association srcclass8namedstclass2name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc2 extends association srcclass2namedstclass4name srcmultiplicity srcmlpc2 dstmultiplicity dstmlpc one sig assoc3 extends association srcclass8namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc4 extends association srcclass8namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc5 extends association srcclass8namedstclass6name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc6 extends association srcclass6namedstclass1name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc7 extends association srcclass6namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc8 extends association srcclass1namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc9 extends association srcclass1namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc10 extends association srcclass2namedstclass3name,0
[start] np module omname0open declaration one sig class1name extends class attrset c1at1c1at2idc1at1no parent is abstract no one sig c1at1 extends c1at1type one sig c1at2 extends c1at2type one sig class2name extends class attrset c2at1c2at2idc2at1no parent is abstract no one sig c2at1 extends c2at1type one sig c2at2 extends c2at2type one sig class3name extends class attrset c3at1c3at2c3at3c3at4c3at5c3at6idc3at1no parent is abstract no one sig c3at1 extends c3at1type one sig c3at2 extends c3at2type one sig c3at3 extends c3at3type one sig c3at4 extends c3at4type one sig c3at5 extends c3at5type one sig c3at6 extends c3at6type one sig class4name extends class attrset c4at1c4at2c4at3c4at4idc4at3no parent is abstract no one sig c4at1 extends c4at1type one sig c4at2 extends c4at2type one sig c4at3 extends c4at3type one sig c4at4 extends c4at4type one sig class5name extends class attrset c5at1 one parent parent in class2nameidc2at1isabstractno one sig c5at1 extends c5at1type one sig class6name extends class attrset c6at10c6at2c6at3c6at4idc6at2no parent is abstract no one sig c6at10 extends c6at1type one sig c6at2 extends c6at2type one sig c6at3 extends c6at3type one sig c6at4 extends c6at4type one sig class7name extends class attrset c7at1 one parent parent in class2nameidc2at1isabstractno one sig c7at1 extends c7at1type one sig class8name extends class attrset c8at1c8at2c2at2c6at3idc8at1no parent is abstract no one sig c8at1 extends c8at1type one sig c8at1 extends c8at1type one sig assoc1 extends association srcclass8namedstclass2name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc2 extends association srcclass2namedstclass4name srcmultiplicity srcmlpc2 dstmultiplicity dstmlpc one sig assoc3 extends association srcclass8namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc4 extends association srcclass8namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc5 extends association srcclass8namedstclass6name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc6 extends association srcclass6namedstclass1name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc7 extends association srcclass6namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc8 extends association srcclass1namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc9 extends association srcclass1namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc10 extends association srcclass2namedstclass3name,0
[start] np module omname0open declaration one sig class1name extends class attrset c1at1c1at2idc1at1no parent is abstract no one sig c1at1 extends c1at1type one sig c1at2 extends c1at2type one sig class2name extends class attrset c2at1c2at2idc2at1no parent is abstract no one sig c2at1 extends c2at1type one sig c2at2 extends c2at2type one sig class3name extends class attrset c3at1c3at2c3at3c3at4c3at5c3at6idc3at1no parent is abstract no one sig c3at1 extends c3at1type one sig c3at2 extends c3at2type one sig c3at3 extends c3at3type one sig c3at4 extends c3at4type one sig c3at5 extends c3at5type one sig c3at6 extends c3at6type one sig class4name extends class attrset c4at1c4at2c4at3c4at4idc4at3no parent is abstract no one sig c4at1 extends c4at1type one sig c4at2 extends c4at2type one sig c4at3 extends c4at3type one sig c4at4 extends c4at4type one sig class5name extends class attrset c5at1 one parent parent in class2nameidc2at1isabstractno one sig c5at1 extends c5at1type one sig class6name extends class attrset c6at10c6at2c6at3c6at4idc6at2no parent is abstract no one sig c6at10 extends c6at1type one sig c6at2 extends c6at2type one sig c6at3 extends c6at3type one sig c6at4 extends c6at4type one sig class7name extends class attrset c7at1 one parent parent in class2nameidc2at1isabstractno one sig c7at1 extends c7at1type one sig class8name extends class attrset c8at1c8at2c2at2c6at3idc8at1no parent is abstract no one sig c8at1 extends c8at1type one sig c8at1 extends c8at1type one sig assoc1 extends association srcclass8namedstclass2name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc2 extends association srcclass2namedstclass4name srcmultiplicity srcmlpc2 dstmultiplicity dstmlpc one sig assoc3 extends association srcclass8namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc4 extends association srcclass8namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc5 extends association srcclass8namedstclass6name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc6 extends association srcclass6namedstclass1name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc7 extends association srcclass6namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc8 extends association srcclass1namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc9 extends association srcclass1namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc10 extends association srcclass2namedstclass3name,0
[start] np module omname0open declaration one sig class1name extends class attrset c1at1c1at2idc1at1no parent is abstract no one sig c1at1 extends c1at1type one sig c1at2 extends c1at2type one sig class2name extends class attrset c2at1c2at2idc2at1no parent is abstract no one sig c2at1 extends c2at1type one sig c2at2 extends c2at2type one sig class3name extends class attrset c3at1c3at2c3at3c3at4c3at5c3at6idc3at1no parent is abstract no one sig c3at1 extends c3at1type one sig c3at2 extends c3at2type one sig c3at3 extends c3at3type one sig c3at4 extends c3at4type one sig c3at5 extends c3at5type one sig c3at6 extends c3at6type one sig class4name extends class attrset c4at1c4at2c4at3c4at4idc4at3no parent is abstract no one sig c4at1 extends c4at1type one sig c4at2 extends c4at2type one sig c4at3 extends c4at3type one sig c4at4 extends c4at4type one sig class5name extends class attrset c5at1 one parent parent in class2nameidc2at1isabstractno one sig c5at1 extends c5at1type one sig class6name extends class attrset c6at10c6at2c6at3c6at4idc6at2no parent is abstract no one sig c6at10 extends c6at1type one sig c6at2 extends c6at2type one sig c6at3 extends c6at3type one sig c6at4 extends c6at4type one sig class7name extends class attrset c7at1 one parent parent in class2nameidc2at1isabstractno one sig c7at1 extends c7at1type one sig class8name extends class attrset c8at1c8at2c2at2c6at3idc8at1no parent is abstract no one sig c8at1 extends c8at1type one sig c8at1 extends c8at1type one sig assoc1 extends association srcclass8namedstclass2name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc2 extends association srcclass2namedstclass4name srcmultiplicity srcmlpc2 dstmultiplicity dstmlpc one sig assoc3 extends association srcclass8namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc4 extends association srcclass8namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc5 extends association srcclass8namedstclass6name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc6 extends association srcclass6namedstclass1name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc7 extends association srcclass6namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc8 extends association srcclass1namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc9 extends association srcclass1namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc10 extends association srcclass2namedstclass3name,0
[start] np module omname0open declaration one sig class1name extends class attrset c1at1c1at2idc1at1no parent is abstract no one sig c1at1 extends c1at1type one sig c1at2 extends c1at2type one sig class2name extends class attrset c2at1c2at2idc2at1no parent is abstract no one sig c2at1 extends c2at1type one sig c2at2 extends c2at2type one sig class3name extends class attrset c3at1c3at2c3at3c3at4c3at5c3at6idc3at1no parent is abstract no one sig c3at1 extends c3at1type one sig c3at2 extends c3at2type one sig c3at3 extends c3at3type one sig c3at4 extends c3at4type one sig c3at5 extends c3at5type one sig c3at6 extends c3at6type one sig class4name extends class attrset c4at1c4at2c4at3c4at4idc4at3no parent is abstract no one sig c4at1 extends c4at1type one sig c4at2 extends c4at2type one sig c4at3 extends c4at3type one sig c4at4 extends c4at4type one sig class5name extends class attrset c5at1 one parent parent in class2nameidc2at1isabstractno one sig c5at1 extends c5at1type one sig class6name extends class attrset c6at10c6at2c6at3c6at4idc6at2no parent is abstract no one sig c6at10 extends c6at1type one sig c6at2 extends c6at2type one sig c6at3 extends c6at3type one sig c6at4 extends c6at4type one sig class7name extends class attrset c7at1 one parent parent in class2nameidc2at1isabstractno one sig c7at1 extends c7at1type one sig class8name extends class attrset c8at1c8at2c2at2c6at3idc8at1no parent is abstract no one sig c8at1 extends c8at1type one sig c8at1 extends c8at1type one sig assoc1 extends association srcclass8namedstclass2name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc2 extends association srcclass2namedstclass4name srcmultiplicity srcmlpc2 dstmultiplicity dstmlpc one sig assoc3 extends association srcclass8namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc4 extends association srcclass8namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc5 extends association srcclass8namedstclass6name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc6 extends association srcclass6namedstclass1name srcmultiplicity srcmlpc dstmultiplicity dstmlpc2 one sig assoc7 extends association srcclass6namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc8 extends association srcclass1namedstclass3name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc9 extends association srcclass1namedstclass4name srcmultiplicity srcmlpc dstmultiplicity dstmlpc one sig assoc10 extends association srcclass2namedstclass3name,0
