solution_no,insert_time,select_time,total_memory
137,1057994.3333333333,107745.66666666667,43936.0
136,1913821.0,128897.33333333333,45488.0
135,1915410.6666666667,127278.0,41888.0
134,1899453.0,112808.33333333333,42384.0
133,1986694.3333333333,122005.33333333333,42896.0
132,1539710.3333333333,108906.66666666667,45472.0
131,1749963.3333333333,127040.66666666667,43920.0
121,1785283.6666666667,119002.66666666667,38784.0
120,1799376.0,132195.66666666666,41360.0
119,1620275.0,116954.66666666667,40832.0
118,1683889.6666666667,114315.0,38256.0
117,1756542.0,172639.33333333334,39792.0
116,1728801.3333333333,127177.0,40320.0
115,1705102.3333333333,125469.66666666667,38768.0
114,1758984.6666666667,110135.66666666667,39264.0
113,1722729.0,116583.0,42368.0
107,1812898.3333333333,115479.33333333333,42880.0
106,1712957.0,105365.0,45456.0
103,1795682.3333333333,110980.33333333333,43888.0
102,1722412.3333333333,131583.66666666666,45440.0
93,1597518.6666666667,106749.33333333333,37248.0
92,1765329.3333333333,103610.33333333333,38800.0
91,1971127.3333333333,103621.66666666667,36224.0
89,1891500.3333333333,133705.33333333334,38256.0
88,1738262.6666666667,124164.66666666667,42352.0
86,1705727.6666666667,124369.0,38784.0
85,1754284.0,125620.33333333333,37232.0
84,1857137.0,102989.66666666667,35696.0
78,1811105.0,114891.66666666667,43888.0
73,1580517.6666666667,134066.0,42880.0
67,1689748.6666666667,124766.66666666667,37744.0
66,1619596.0,124890.0,37216.0
65,1683291.6666666667,115267.0,34144.0
64,1790900.6666666667,112188.66666666667,37216.0
63,1699407.3333333333,148161.33333333334,34672.0
62,1605494.3333333333,115019.0,38224.0
61,1900862.3333333333,117577.0,41312.0
59,1725922.6666666667,101956.66666666667,39776.0
57,1752318.6666666667,107404.33333333333,34128.0
56,1467911.0,133809.33333333334,35152.0
55,1325575.3333333333,139019.33333333334,35168.0
53,1282120.3333333333,167277.66666666666,40800.0
52,1086918.0,111277.0,39248.0
50,1154062.6666666667,134854.33333333334,39776.0
49,697167.6666666666,108929.66666666667,31552.0
48,1295810.3333333333,128867.33333333333,41312.0
46,1313442.0,124076.66666666667,31568.0
45,1144496.3333333333,148343.66666666666,36688.0
44,1222667.3333333333,125225.66666666667,35680.0
43,342835.0,59536.333333333336,38224.0
39,1321055.6666666667,149046.0,36672.0
37,1285194.6666666667,145897.33333333334,40304.0
36,1178065.0,99966.66666666667,39248.0
35,1180373.6666666667,128535.0,40784.0
34,1022955.3333333334,140997.66666666666,38208.0
33,1387439.0,104956.0,40272.0
32,1213431.6666666667,104375.33333333333,36144.0
31,1308473.3333333333,121750.0,36704.0
30,1205702.6666666667,120583.33333333333,39760.0
29,921535.3333333334,96403.33333333333,34608.0
28,1131646.0,98734.66666666667,40240.0
25,1308906.6666666667,144439.66666666666,36688.0
23,1083878.0,118439.66666666667,39216.0
21,1187494.0,94506.0,36144.0
20,865429.3333333334,87182.33333333333,34608.0
19,1075192.0,101806.0,33552.0
16,1285547.0,142589.0,33072.0
15,1151961.0,161572.66666666666,36672.0
14,1161698.3333333333,120608.33333333333,32560.0
13,785005.6666666666,84363.33333333333,33552.0
12,1222957.3333333333,106442.66666666667,35136.0
11,1031087.3333333334,90114.0,30480.0
10,945723.6666666666,110344.33333333333,34064.0
8,1220645.0,113093.33333333333,34096.0
7,852698.0,117141.33333333333,33088.0
5,1220274.0,108142.33333333333,31504.0
4,1196830.3333333333,121546.33333333333,36112.0
3,1171881.3333333333,166989.66666666666,33568.0
2,879468.0,94924.33333333333,31472.0
1,654306.0,75738.0,31472.0
