solution_no,insert_time,select_time,total_memory
4991,2.3333333333333335,1.6666666666666667,640.0
4989,2.3333333333333335,1.3333333333333333,608.0
4987,2.0,1.3333333333333333,608.0
4985,2.0,1.0,576.0
4983,2.0,1.6666666666666667,576.0
4980,2.0,1.6666666666666667,608.0
4978,2.3333333333333335,1.3333333333333333,576.0
4977,2.0,1.6666666666666667,544.0
4973,1.3333333333333333,1.6666666666666667,576.0
4972,2.3333333333333335,1.3333333333333333,576.0
4970,2.0,2.0,544.0
4968,2.0,1.3333333333333333,512.0
4966,2.0,1.0,576.0
4964,2.3333333333333335,1.6666666666666667,544.0
4963,2.0,1.3333333333333333,608.0
4961,2.3333333333333335,2.0,544.0
4958,2.0,2.0,608.0
4956,2.3333333333333335,1.3333333333333333,576.0
4954,2.6666666666666665,1.6666666666666667,576.0
4952,2.3333333333333335,1.3333333333333333,544.0
4950,1.6666666666666667,1.6666666666666667,544.0
4948,2.0,1.3333333333333333,512.0
4946,2.3333333333333335,1.6666666666666667,576.0
4944,2.0,2.0,544.0
4942,2.3333333333333335,2.0,544.0
4940,2.0,1.6666666666666667,608.0
4938,2.0,1.3333333333333333,576.0
4936,3.3333333333333335,1.6666666666666667,576.0
4933,1.3333333333333333,2.0,544.0
4931,2.3333333333333335,1.6666666666666667,512.0
4929,2.0,1.6666666666666667,576.0
4927,2.0,1.6666666666666667,544.0
4926,1.3333333333333333,1.3333333333333333,544.0
4924,2.0,2.0,576.0
4922,2.3333333333333335,1.0,544.0
4920,2.3333333333333335,1.3333333333333333,544.0
4917,1.6666666666666667,1.6666666666666667,512.0
4915,2.0,1.6666666666666667,544.0
4913,2.0,1.6666666666666667,512.0
4912,2.3333333333333335,1.3333333333333333,512.0
4909,2.3333333333333335,2.0,576.0
4907,1.6666666666666667,1.6666666666666667,544.0
4905,2.0,1.3333333333333333,544.0
4903,2.3333333333333335,2.0,512.0
4901,2.0,1.6666666666666667,512.0
4899,2.0,1.6666666666666667,544.0
4897,2.0,1.3333333333333333,512.0
4896,2.6666666666666665,1.6666666666666667,544.0
4894,2.6666666666666665,1.3333333333333333,512.0
4891,2.3333333333333335,1.0,624.0
4888,2.0,1.6666666666666667,592.0
4885,2.0,1.3333333333333333,560.0
4883,2.6666666666666665,2.0,528.0
4881,2.0,1.3333333333333333,592.0
4879,2.3333333333333335,1.6666666666666667,560.0
4878,1.6666666666666667,1.6666666666666667,592.0
4876,2.3333333333333335,1.0,592.0
4874,1.6666666666666667,1.3333333333333333,560.0
4872,2.0,2.0,560.0
